image,image_type,method,yeast_label,area_px,centroid_y,centroid_x,mean_green_intensity,mean_red_intensity,red_overlap_area_px,red_overlap_fraction,red_positive_threshold,red_positive_by_intensity,red_positive_by_overlap_or_centroid,red_positive,red_centroids_inside_yeast,nearest_red_centroid_distance_px
yeast_cyano_2.czi,combined,otsu_global,14,301,307.49169435215947,60.31229235880399,97.76744186046511,11.913621262458472,63,0.20930232558139536,1.0,True,True,True,2,1.4277848831698126
yeast_cyano_2.czi,combined,otsu_global,15,716,357.5432960893855,265.77513966480444,129.3463687150838,6.523743016759776,72,0.1005586592178771,1.0,True,True,True,1,7.130466466761494
yeast_cyano_2.czi,combined,otsu_global,16,306,366.42483660130716,146.73529411764707,109.55228758169935,10.15359477124183,59,0.19281045751633988,1.0,True,True,True,1,1.3645284046847432
yeast_cyano_2.czi,combined,otsu_global,17,110,419.4727272727273,125.34545454545454,96.55454545454545,16.0,45,0.4090909090909091,1.0,True,True,True,0,9.95002741422537
yeast_cyano_2.czi,combined,otsu_global,18,144,439.0138888888889,198.02777777777777,85.31944444444444,5.409722222222222,8,0.05555555555555555,1.0,True,True,True,0,2.643800254170228
yeast_cyano_2.czi,combined,otsu_global,19,504,494.781746031746,246.32738095238096,185.9781746031746,17.896825396825395,194,0.38492063492063494,1.0,True,True,True,1,0.6124910026468329
yeast_cyano_2.czi,combined,otsu_global,20,209,505.35406698564594,109.0909090909091,101.37320574162679,7.971291866028708,0,0.0,1.0,True,False,False,0,97.35595921392272
yeast_cyano_2.czi,combined,watershed,1,700,136.49285714285713,194.3242857142857,147.31714285714287,18.982857142857142,327,0.46714285714285714,1.0,True,True,True,1,1.0568655273420322
yeast_cyano_2.czi,combined,watershed,2,446,149.50896860986546,211.9865470852018,132.92825112107624,16.378923766816143,157,0.35201793721973096,1.0,True,True,True,1,0.29967910940987813
yeast_cyano_2.czi,combined,watershed,3,504,494.781746031746,246.32738095238096,185.9781746031746,17.896825396825395,194,0.38492063492063494,1.0,True,True,True,1,0.6124910026468329
